movie_name,movie_score,movie_general,movie_cast,movie_music,movie_director,movie_story,movie_scene
tt2488496.csv,3.765352941,"('s: 0', 'c: 0')","('s: 0.5574', 'c: 1')","('s: 0', 'c: 0')","('s: 0.6244', 'c: 5')","('s: -3.2807', 'c: 11')","('s: 0', 'c: 0')"
tt1951265.csv,4.0300625,"('s: 0', 'c: 0')","('s: 0.6139', 'c: 3')","('s: 0.7788', 'c: 2')","('s: 1.6635', 'c: 13')","('s: -4.3493', 'c: 28')","('s: -4.9145', 'c: 18')"
tt1502712.csv,4.376225352,"('s: 0', 'c: 0')","('s: 0.294', 'c: 4')","('s: 1.038', 'c: 2')","('s: 0.6539', 'c: 5')","('s: -4.9784', 'c: 52')","('s: -1.4363', 'c: 8')"
tt1840309.csv,4.647934066,"('s: 0', 'c: 0')","('s: 4.1831', 'c: 15')","('s: -0.5267', 'c: 1')","('s: 0', 'c: 0')","('s: -4.8201', 'c: 60')","('s: -2.0401', 'c: 15')"
tt0361748.csv,4.893989637,"('s: 0', 'c: 0')","('s: 4.8137', 'c: 23')","('s: 0.6249', 'c: 1')","('s: 0.6627', 'c: 71')","('s: -5.3085', 'c: 56')","('s: -2.8388', 'c: 42')"
tt2004420.csv,4.986130435,"('s: 0', 'c: 0')","('s: 9.2748', 'c: 49')","('s: -0.4632', 'c: 3')","('s: 0.4019', 'c: 1')","('s: -4.5705', 'c: 19')","('s: -4.7706', 'c: 20')"
tt0816692.csv,5.078166667,"('s: 0', 'c: 0')","('s: 1.8594', 'c: 11')","('s: -1.0472', 'c: 7')","('s: 1.6246', 'c: 10')","('s: -1.3595', 'c: 47')","('s: -0.4676', 'c: 3')"
tt1617661.csv,5.243909091,"('s: 0', 'c: 0')","('s: 0.2278', 'c: 5')","('s: 0', 'c: 0')","('s: -0.2141', 'c: 2')","('s: 0.2546', 'c: 4')","('s: 0', 'c: 0')"
tt4160708.csv,5.552154472,"('s: 0', 'c: 0')","('s: 3.0483', 'c: 32')","('s: 0.732', 'c: 2')","('s: -0.3888', 'c: 17')","('s: 3.5221', 'c: 52')","('s: -0.1221', 'c: 20')"
tt0209144.csv,5.609069767,"('s: 0', 'c: 0')","('s: 7.2234', 'c: 23')","('s: -2.1332', 'c: 4')","('s: 1.5571', 'c: 11')","('s: 0.6567', 'c: 82')","('s: 0.553', 'c: 9')"
